alpha,beta,log_evidence,rmse,mae,r2,coverage_95,coefficient_norm,top_5_features
0.0001,57.00856419145014,-137.1766639694947,0.13228834753565422,0.09403234483061777,0.6346187703187278,0.949874686716792,0.5056788881076385,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.0002610157215682536,57.00856419145014,-89.20617291750455,0.13228834426525746,0.09403234188712388,0.6346187883844396,0.949874686716792,0.5056781768094005,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.0006812920690579615,57.00856419145014,-41.23573293724712,0.13228833572905976,0.09403233420414188,0.634618835538498,0.949874686716792,0.5056763202262848,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.0017782794100389228,57.00856419145014,6.734573740037604,0.13228831344867398,0.0940323141504108,0.6346189586156019,0.949874686716792,0.5056714743681036,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.004641588833612782,57.00856419145014,54.704532491158034,0.1322882552962661,0.09403226180739671,0.6346192798500652,0.949874686716792,0.5056588267071964,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.012115276586285889,57.00856419145014,102.67358320617313,0.13228810352909517,0.09403212518646756,0.6346201182127191,0.949874686716792,0.5056258197077899,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.03162277660168379,57.00856419145014,150.64026452523694,0.13228770752754715,0.09403176860196955,0.6346223057228334,0.949874686716792,0.5055397029092034,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.0825404185268019,57.00856419145014,198.600766254865,0.13228667481736575,0.09403083798113193,0.634628010376715,0.949874686716792,0.5053151738975702,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.21544346900318845,57.00856419145014,246.54517160722435,0.13228398550474507,0.09402840975264927,0.634642865833872,0.949874686716792,0.50473081002946,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
0.5623413251903491,57.00856419145014,294.44778806169234,0.1322770080567721,0.09402207767369158,0.6346814070549254,0.949874686716792,0.503216937744344,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
1.4677992676220706,57.00856419145014,342.242831036222,0.1322590770154148,0.09400559516305189,0.6347804431445643,0.949874686716792,0.4993411767019848,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
